Timestamp (ms),ch0_1Hz,ch0_2Hz,ch0_3Hz,ch0_4Hz,ch0_5Hz,ch0_6Hz,ch0_7Hz,ch0_8Hz,ch0_9Hz,ch0_10Hz,ch0_11Hz,ch0_12Hz,ch0_13Hz,ch0_14Hz,ch0_15Hz,ch0_16Hz,ch0_17Hz,ch0_18Hz,ch0_19Hz,ch0_20Hz,ch0_21Hz,ch0_22Hz,ch0_23Hz,ch0_24Hz,ch0_25Hz,ch0_26Hz,ch0_27Hz,ch0_28Hz,ch0_29Hz,ch0_30Hz,ch1_1Hz,ch1_2Hz,ch1_3Hz,ch1_4Hz,ch1_5Hz,ch1_6Hz,ch1_7Hz,ch1_8Hz,ch1_9Hz,ch1_10Hz,ch1_11Hz,ch1_12Hz,ch1_13Hz,ch1_14Hz,ch1_15Hz,ch1_16Hz,ch1_17Hz,ch1_18Hz,ch1_19Hz,ch1_20Hz,ch1_21Hz,ch1_22Hz,ch1_23Hz,ch1_24Hz,ch1_25Hz,ch1_26Hz,ch1_27Hz,ch1_28Hz,ch1_29Hz,ch1_30Hz,ch2_1Hz,ch2_2Hz,ch2_3Hz,ch2_4Hz,ch2_5Hz,ch2_6Hz,ch2_7Hz,ch2_8Hz,ch2_9Hz,ch2_10Hz,ch2_11Hz,ch2_12Hz,ch2_13Hz,ch2_14Hz,ch2_15Hz,ch2_16Hz,ch2_17Hz,ch2_18Hz,ch2_19Hz,ch2_20Hz,ch2_21Hz,ch2_22Hz,ch2_23Hz,ch2_24Hz,ch2_25Hz,ch2_26Hz,ch2_27Hz,ch2_28Hz,ch2_29Hz,ch2_30Hz,ch3_1Hz,ch3_2Hz,ch3_3Hz,ch3_4Hz,ch3_5Hz,ch3_6Hz,ch3_7Hz,ch3_8Hz,ch3_9Hz,ch3_10Hz,ch3_11Hz,ch3_12Hz,ch3_13Hz,ch3_14Hz,ch3_15Hz,ch3_16Hz,ch3_17Hz,ch3_18Hz,ch3_19Hz,ch3_20Hz,ch3_21Hz,ch3_22Hz,ch3_23Hz,ch3_24Hz,ch3_25Hz,ch3_26Hz,ch3_27Hz,ch3_28Hz,ch3_29Hz,ch3_30Hz,chAux_1Hz,chAux_2Hz,chAux_3Hz,chAux_4Hz,chAux_5Hz,chAux_6Hz,chAux_7Hz,chAux_8Hz,chAux_9Hz,chAux_10Hz,chAux_11Hz,chAux_12Hz,chAux_13Hz,chAux_14Hz,chAux_15Hz,chAux_16Hz,chAux_17Hz,chAux_18Hz,chAux_19Hz,chAux_20Hz,chAux_21Hz,chAux_22Hz,chAux_23Hz,chAux_24Hz,chAux_25Hz,chAux_26Hz,chAux_27Hz,chAux_28Hz,chAux_29Hz,chAux_30Hz,f_1Hz,f_2Hz,f_3Hz,f_4Hz,f_5Hz,f_6Hz,f_7Hz,f_8Hz,f_9Hz,f_10Hz,f_11Hz,f_12Hz,f_13Hz,f_14Hz,f_15Hz,f_16Hz,f_17Hz,f_18Hz,f_19Hz,f_20Hz,f_21Hz,f_22Hz,f_23Hz,f_24Hz,f_25Hz,f_26Hz,f_27Hz,f_28Hz,f_29Hz,f_30Hz,info
1697319818458,6.9849333155340885,9.493530740422683,30.021875064216974,5.135259987648502,15.644262077548683,48.305242988656374,17.016129585893626,32.847704531549354,16.563544858481663,21.682152489309836,41.87524075240945,47.712108033549356,18.369090371720606,38.346607093249254,19.40723222046707,137.34889500707254,32.305935185376256,17.553477575909525,16.09426325855278,21.244497118154957,5.673790669624495,27.628135765760252,8.260179652084053,11.186280003282135,10.82931482124671,13.421296932693084,8.835607840650196,16.974370225203653,6.902342697372193,8.801184118888237,20.66228327861902,8.589104184674683,53.01074452427177,39.6348387855758,30.049750053575288,13.603042159311094,37.86023985303638,30.172121698030537,63.68739324198308,59.155070160944284,56.83277906864325,10.84041172207825,27.521616390269024,16.69294615833118,53.92725450690133,164.00613812648584,69.40993487977782,37.25918498602828,16.73623033349321,13.25613963432582,8.240462645508387,16.530616028759884,8.622497068704156,8.4820283438648,7.152159578841791,4.885563521568405,15.656922926730957,8.679195321957033,7.17283815303387,3.2904617216108174,15.068560992898387,23.352691907907616,32.58857542661623,15.095095301143408,29.72085383105422,50.73743652733644,11.250867781970062,75.15303883941492,32.18895785120247,47.75810998061705,34.901588941556014,42.98492833198724,37.262035250796984,16.148046923638386,55.81000983871523,164.8827990415885,20.935536477455194,11.669794781367324,25.396389317291202,19.489671459170925,38.82007535970752,6.345164995786864,22.913585845871097,1.3509805247486002,7.597262498600488,8.531574990974434,4.198523999342883,12.782688502309675,11.085551138363233,2.9547783911557763,75.69159648250579,182.77167614907108,252.45060759557413,184.1791510550137,299.6952328704195,185.89957328121113,86.05481439185674,97.57510000540455,43.12430148651545,71.75104521535938,81.93996506653001,29.4922074666221,46.66866559453544,86.2690260364079,20.950868583516243,102.61366981700557,28.883006581695945,76.32932700764637,31.14896517033597,28.43915438760833,29.167054643139544,9.786589024644462,15.914629207261152,28.990466834998635,13.22223349879263,3.5877946145751487,15.410328818036206,3.8166873428299795,8.52421332000898,5.109106226406691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,[object Object]
1697319818833,7.819395027264569,19.348904821376802,27.006094044549236,18.757799681913788,47.439619738892446,8.953555380020754,17.883188049826856,24.08377587148988,25.594204302790832,29.942873351429363,54.47363136706959,68.82690980784723,20.280459148109955,6.446628694633738,10.21914201093649,143.12313914676346,30.036186605155855,39.38898431479221,17.34694046241967,25.12807621934229,7.118252138815369,19.57687301334738,9.444528094295377,17.042247087627175,13.04582469913502,17.701941072152113,13.896229175746054,21.64257728808361,6.445884074612334,1.1948721125798645,5.59488598967006,32.413785338164075,20.347843085148316,91.91815047798706,32.04127566005165,27.63061249561836,51.84285348741965,18.31842817802711,50.97773253182658,47.37547446202071,62.52311260761977,29.299225254856964,6.598243742137433,25.47135150948592,59.18987237367263,131.35000695449713,4.924330401164616,35.5735341082265,20.251153122182895,30.262129519856742,42.140282326467315,24.263169095608802,21.585947145924457,13.018236751574406,5.323587279256589,10.472841303387307,5.503647429445023,10.112770777147112,10.925019637662196,3.339998774027596,10.486010810036593,26.22413477941384,24.014034408888648,47.65253802703707,17.635780490562393,31.372543088371,69.81519037976341,61.12197758610034,32.421236802994564,49.901811058555445,16.990701080803234,8.758449349505025,28.594606307208718,27.895682390596328,67.7817053330483,156.18671475609906,20.1762619192075,7.681676734661294,31.92964392106174,14.70824979373787,7.463297658233093,19.74102679335613,8.830383726150258,11.185450240570791,10.291047092414406,14.84147245656571,14.513201341571877,10.610757975553364,15.520403817589356,3.793947161791003,101.49229275536045,125.03849366360312,399.52926481265075,315.1687696058982,217.81231412109932,76.06665769507659,76.90156155827201,90.17976771758832,60.78020863461965,28.27055968677405,33.93170906442294,80.59915774357448,98.92225466626597,34.9016517449601,53.71803428242653,47.51285016725787,39.73934482630202,47.28659150821416,31.602785505028944,11.741143661105683,16.208702121025286,9.095622494582619,9.256404793006611,16.760138564636225,2.518770559152645,15.257254261005167,4.783711302665198,5.72798991777622,5.235850321805873,1.4982834705702952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,[object Object]
1697319819207,5.677445913889537,13.857629163587367,40.3822668680702,19.89321082926521,14.651171673953323,53.49835869825128,19.330011654403947,13.888910797465313,14.631380111913565,65.02634049829989,20.928298472039426,45.03082821962761,45.97125270168489,22.212169131192674,121.94794234714368,39.54915761799,128.73731229955735,46.185157717916404,31.089260213199793,11.158288260019296,3.1288842461047834,10.076261302473252,2.52131200315612,16.292348201945604,12.733469040070286,22.782076262365276,7.1226972464139795,1.8817736362079764,11.324754868465874,9.579926150657185,10.284334384465362,22.14629124578448,21.947896785001156,66.66483109952367,51.50205207400361,64.48829396772291,24.044065248940687,25.083020902886695,52.03559134230687,34.04668332716055,26.494682473097647,35.86595700743605,29.492239600493082,62.69532928768718,48.43076734231696,54.34002895308314,79.02985992274668,6.255986102135082,15.7550775715887,52.62784365624241,39.46620049060467,12.942785126977288,6.78880582562572,17.76870135715648,1.6754360987236812,10.20026455884567,11.533538838482388,2.3870775577441057,12.46018528432556,6.661066657667097,7.15494807168923,10.933352517044735,39.77913445218164,33.43846631151864,39.649656549550755,49.56570972371774,56.20264675386516,67.14047301087358,13.033466720025865,67.36698233626063,29.6363559795577,27.928174140414882,40.19753258480052,49.73820513730254,72.93204145277825,145.62453835883244,18.040355855313273,34.57965196077621,14.24287220517463,19.848094536252468,21.881285240762644,6.110911652748209,6.042174623588931,12.49431066133166,8.98750454290108,13.148841282482914,7.487223049928928,15.470841610514764,12.819728084436841,5.73496297468061,193.50346884840084,244.12459135270817,303.7080639680165,340.78033157571986,54.65351502709418,121.07492468880116,136.55164821210977,68.5671282883296,60.05160817551192,45.024708219462305,41.81005683104772,52.17519749572437,61.55411167756104,47.01166377554135,29.74439042633813,11.75231345325384,27.126927280183263,27.29693024826013,21.539033037769478,11.66450114523432,9.12965920532907,15.73663893208119,11.340270410311046,6.37923679443121,14.247936768336213,12.87285960420603,4.587061463834971,14.048062300054424,8.158803780628284,11.126676358833189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,[object Object]
1697319819628,13.862777336074794,6.919382578914238,37.29852592636362,51.96791391684758,25.09039398773968,21.28889375728673,36.91355576213242,14.976686407840935,14.408979154695288,44.89296639795448,23.839870361251318,35.25244825741593,50.14331558190741,18.038901882412613,75.02276580158193,146.73707503766232,114.61375195095877,7.096388943884667,21.79425620669686,35.59986548879052,11.505309369892815,10.544806700318132,25.661993109190078,7.514342873762031,4.379639813148436,24.494458034774027,3.6588389744305068,4.0748858965862,10.821080566788664,9.615052604131002,12.314866034703476,26.398352554413297,19.002170496477312,62.15764443276865,57.99726499841534,16.297525971025188,19.625050001019428,32.531264226914146,61.558390549612206,32.81252982160704,59.466556995419296,40.18866478342721,47.3852497135116,31.648914935049312,67.29687125368578,44.28232498524255,67.89009287129807,12.685788084314051,29.614031122647106,45.002192378216606,32.73255181520555,13.952950547393854,3.10406261053273,26.001723417062905,2.2577399747881075,14.54106035655868,6.426720709732277,11.974250489439951,8.07911800475747,6.812663044350678,14.570161405287887,37.145491260967354,76.31168698343521,28.32636986374022,19.351997854158828,30.412128543094653,82.22054614902511,47.47792593627299,66.77855599069535,71.76990907749281,9.382461461452698,53.79437739853836,25.368481933105652,55.12832165052594,42.82334704756448,140.42806884178927,26.262718920776635,23.91117168294566,17.031805902989415,4.9924465441980885,41.16755727337407,13.558037434496429,14.276926269338224,14.539284299972515,10.376067572557087,10.36123582858405,6.306163962281854,8.614866356508058,5.359619730750256,8.918605181491936,83.70435714907795,425.1947546171496,224.14466892197274,313.4443432047494,58.76610126314508,131.0253143699789,93.92079171194347,21.315707066309887,55.40039072104747,50.44530571275866,25.266047020350435,38.070929584890536,43.37761602753935,8.6473825176192,33.22096529531639,18.855604258650114,11.016380650251994,12.726467156150907,12.570867881973776,4.116417058520385,9.184955703624784,9.506209786617488,5.453801894441889,4.863012372440996,5.2297832057721445,2.2123486574028917,0.8685994706978405,4.059016578108308,3.948757081839304,2.739994229272007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,[object Object]
1697319820001,13.5367818567916,30.81098986346854,62.845727430218155,45.48581495195843,35.32461859162773,30.335992313780597,33.17789885296654,38.453040653700924,32.99125223990438,37.89120054896165,15.178193970561193,46.693421482260554,15.587393207553953,35.479283945676045,47.45618081332226,209.43293948127953,39.550524701155695,46.527664565614735,27.871268459979948,48.23148976331065,7.957443938071118,14.105019291804368,10.62778426078746,16.326381736613765,12.94766719278336,9.002707907083824,13.384088439118441,8.510718301223921,6.999146817678869,6.113570485260298,14.466005743410292,26.777810094366053,27.147229792198974,25.56942800620838,29.036153645469383,45.93619277910431,36.61577438388059,56.61479063270555,57.90991670777341,66.2462479343017,51.33013070657251,26.01673544255382,25.198026025681965,22.47065117471575,67.36463914821964,80.72546096262121,63.90250740920779,14.317403772743068,28.336966057485046,32.324824756278886,17.38571132108561,28.062312949777382,29.53024429225202,6.585914362751158,16.960801092750405,8.85772982888182,3.5279661881086346,11.908301735071788,3.4286253674062412,5.158632702786955,11.484585385239699,36.02029537056293,51.0103240277881,40.491625575444246,38.296296096134284,16.07227779221552,63.21595780690873,43.108447736579016,33.119966311184605,61.10347401890728,42.3388420639774,49.44467690117384,28.063671631130717,31.6365584093039,36.41315529502728,139.94459372923112,74.78659243136553,17.193660528393362,17.094723486451997,14.315918152742496,34.70696391538525,18.74902364460613,18.672940447825823,11.190122361297785,15.903936952920109,22.578457752909085,2.1149983931934577,13.73933839810197,10.568256502415522,1.2761705978133633,79.9022506915225,279.2981536085914,81.12575675241551,126.21262809897347,74.41354220713532,38.836774246330606,72.89630698908589,46.928069148559295,45.10962533918595,60.681636163733764,49.6146350948714,17.352766134394777,39.642732560897166,63.2278812202349,51.84446282982478,35.265585476772834,42.16873893308672,43.30991494572487,39.70689411067315,33.14842902031856,20.608846206071092,9.899952262553102,7.225831686132925,7.214303758034762,8.801360479525087,10.393495845927593,9.822163914383937,6.932628822878156,5.168358185804693,7.342699148484685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,[object Object]
1697319820379,16.769294209118147,58.34244592994815,28.393254022323962,20.738122282960294,50.28700393457056,35.425970903382805,81.81912765525871,6.553206235959867,51.985834040815185,13.178274838921737,13.987987360594461,64.94966411924611,62.553713064223736,53.236844498696975,49.2270230747775,124.55493447289335,45.66485374051733,25.85815503834419,44.56761660142006,21.660922351017206,33.28621582061812,13.897520419979072,12.1944041543433,11.061612226644423,23.302284964319256,7.069895899043796,3.209202442252289,23.025099223939236,13.950125125573322,8.857511625171586,25.651662371862685,26.460159868908576,25.743108001654722,26.00882638990817,25.253046279419017,38.8540632159994,28.63508754296748,63.29756445529163,41.85065136196903,17.316905187872255,57.408931060419114,46.60450180973147,59.544383426804636,60.31636613024675,53.7918063171749,129.95980285967752,9.86652481591251,25.731794229327523,36.97288803213119,33.46477952386045,8.363812366609022,18.879308690621478,27.747675651586,16.03959633267114,4.833715133781146,21.31916821615253,9.678734403509432,11.695601679142042,7.13849907471191,1.5856258313529246,10.312519432103448,35.32051013097207,12.946783550060728,56.75956488917032,42.95788654299578,17.162249385144815,54.7470985671822,52.79774096829409,27.859299923210017,82.74704034387241,63.11079605419465,34.03456530497424,12.238268033264108,13.382361369937751,11.535582717271158,137.89552131179875,32.79557619975457,53.1503702035585,17.612518903229937,24.2804044210523,14.495774381921908,9.962987445052889,10.396782678916912,4.071003449786025,26.149574435076058,16.313411185122046,6.081291197993506,11.210920039405728,6.353260299823232,3.043594892948801,36.324304254495665,163.66617421598204,73.28041185619576,41.85846061297844,79.81503160671704,32.96879294526465,28.29219011520458,19.568426662007084,13.789918601835224,48.28326186349762,71.85487571772254,7.6947767490500265,47.67021098934539,27.02822589805849,69.20674434368692,106.01296366809304,118.19147792540467,39.869556091097046,38.85831454254886,14.650402351412918,23.06962929520744,4.2903318201949805,2.632980329084355,7.6000481467355785,7.8123643842638435,12.361032045652378,9.990524170714048,9.211901777887078,6.6463407876433305,11.126308395179366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,[object Object]
1697319820797,13.630016279855434,54.848613564504305,34.829969813643736,33.462858571334635,64.16029283911833,29.88121877918708,32.66770591691637,36.65421167120371,69.09875781840778,10.047279116073573,29.76396771755895,40.48130635823119,84.41422854175495,6.755916672069973,38.92515595517206,74.67911612309545,95.65031398267043,44.91146331346518,52.022178798670424,5.62395300857883,34.62421501532047,29.276613191662545,11.83118924046661,13.926991898588364,15.970876473422033,4.278919833905198,13.795448566120324,10.883954752622852,8.824986016639228,1.5941732727063056,11.788759054733575,12.544709040875112,17.645937525109005,16.18246012830423,24.311371657293634,42.447651211434874,70.88236039070381,30.567266260771934,24.397819747656076,46.25843397984268,47.69858683198678,35.23978970827709,47.00165880611032,34.83323036337475,25.30901524592982,106.34663773717034,46.76186023648012,10.352504050183429,17.15995496498252,28.18436062878611,26.131753255674948,19.393692943251036,25.421502185978497,16.31463287769712,21.34417643167669,15.618310120033792,17.194059918850478,4.529966330528827,9.54721726989728,2.6409354557767544,7.702884848958011,17.54624789562519,27.750446864764662,38.73695123493226,34.55637736758991,47.99269466548992,30.652979235989413,19.759522830155593,20.655767431179825,6.140184330524238,52.619839190116295,31.80746351621673,17.235324113998345,40.40696663023199,62.98486780500136,137.7708587947124,49.22858430089902,30.664208991992897,10.888300885405394,22.50831227025928,3.180130965795345,34.69709304932015,25.644191096578115,7.135126280234732,9.067472235273643,13.670492295537546,21.547623763894908,6.767243910259286,3.0988878908070245,5.7123012336332755,50.705173751532065,91.44451251253562,61.13864705806233,31.363273531631815,16.309556987674743,60.57934157426473,19.50326465920611,24.565015202934543,10.218316869945651,71.90245300829231,43.37514372806759,7.692423849513205,25.680980542422848,22.5363493571361,79.92179935325665,101.94793468180981,127.03889050769087,23.142514340314854,27.378925563376356,25.350218420970535,14.278823947211949,20.90081856802188,15.113623622870232,25.368307886859792,10.074856445208123,8.397107342891745,3.704831231570087,3.2777468746437606,3.7761184780414307,7.9662483062885645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,[object Object]
1697319821171,8.989913030370504,43.769238397946424,44.779149287129805,32.15696263758624,58.93528164723222,39.61466359621993,24.171277775065455,36.82711880935133,63.44850538387849,8.276623441763592,53.79457488802763,71.26979749485484,49.23564758032297,21.836631616284663,36.96495490018049,142.51691901090274,70.01578424250434,25.160464912386924,21.53285325991375,24.0391882877345,52.91162352929041,20.948048004726658,24.384238623598435,6.737471485118799,9.107295319562535,9.684646376553003,4.811739316031781,5.654625311584043,4.306636945603315,10.775254901617554,1.313477404770397,24.105931460407824,22.153026216323614,8.88372786397886,22.089143268542955,38.550389142102134,79.71150127737694,11.275993547997572,75.77064532756242,54.55077302721194,24.992797082117278,37.74304784140905,17.600653001582522,34.86162376920444,41.696606794224564,136.82213643328188,60.06417666816223,35.85074386363936,19.741443736303115,17.990034040189265,38.84411098084766,15.615952660389429,20.482395417355697,17.868685960063402,19.75281907440949,12.618986363051208,4.78896005605337,20.88331772595691,3.066543786690113,3.0641796992565937,4.895994250479754,12.863087860771786,9.892468666925838,19.012622183544817,59.971921892825655,39.63551297004357,56.89413004123256,14.190369484911498,37.04817401217721,66.91438412389938,7.40769592377293,40.811110052304116,17.684498488051926,61.25467452936837,62.90234754659114,174.38411406414198,26.551129552856978,32.57193680701319,27.124783797504175,2.2180112070670734,19.373900187262937,42.3946018512568,15.422801524223331,4.8468527296621025,13.136948358987722,6.665045921938871,5.506656253288092,23.053455857156592,7.357184999972387,3.44415475342116,15.216026588559359,37.82004900503504,24.560745208003915,3.546999067254364,29.616940790616553,30.057548709053243,3.2841434648119225,11.279567744563069,50.83369937778577,32.60795990914867,27.02503365773887,8.164047766302444,32.374125607873076,73.65868757252646,34.780748955204565,38.198004141972056,71.48191355017649,91.81390591903882,14.699526384166907,31.051559237869963,31.296014076293126,17.70514361103785,14.264088792745584,7.95251234769123,22.601088092543666,1.1592153552836102,16.926051934199833,10.215555777680992,6.71565621878075,14.733252160201236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,[object Object]
1697319821549,4.708946376409929,25.728844369560164,35.29176799299869,36.60558775802387,11.24373265262414,21.587613229118347,20.66528213934758,15.949332869271203,44.983416569746865,19.22440665572225,50.74653481700244,56.85992356346483,33.24038670443038,42.107962240099475,4.680625152494214,199.84729277124887,14.713918831875429,30.73759124263986,21.371103706375035,18.043776829132227,31.886801762461275,12.689805575478655,19.798408727005196,14.68491743301843,3.173002783267867,8.81310898839578,8.716263273807293,20.33947318904325,5.022811816354931,8.25259747084433,14.129105566561837,55.000611623188746,25.85187377976257,20.95328210188042,13.65715214402419,37.98108233019601,54.14177537666371,57.92259532101985,64.33338622342337,46.71914482029694,29.813260643407677,41.17620251631914,32.955950477553394,43.4907794170025,20.847192366821645,144.49332313741473,67.08642889475813,41.39474301738324,20.956974549033923,3.9119116049126923,25.715175555982704,27.64133192749684,8.740697276063218,8.572643630509047,2.596535889252664,12.602473390534682,13.233988644596806,20.52216876624251,9.835251349458538,9.205443292785109,9.453178014904507,36.908915478298816,44.25431168254787,25.814176205589863,23.176062151910042,64.69795261882331,49.53967143281212,22.64506718274592,39.93577267095099,46.77292691576015,45.79040566078243,24.996357094039098,57.2934173473678,23.07002165631533,37.15490239187193,178.19853252207895,33.50243294413029,35.26798493470234,23.568546747088025,8.689877680323834,26.952769845540878,14.331242227034037,20.40891779529063,23.26907372436414,12.418971703929254,10.162531335933288,16.213127358678413,19.074483001841813,11.088417382421047,3.5850669509320934,7.820695061123093,54.09683580523047,23.771167621756128,4.488451143546236,12.589296189065443,40.32017161148827,4.121881121618419,7.540586983893909,44.85750484388957,23.426676478697086,21.53544537377975,20.160872960738192,24.818817602010213,49.31305291262414,28.485283553840528,136.63195405910025,52.58794330592205,27.512882595825932,10.580938338884298,0.7021558021526051,30.212458147544517,13.152217809648779,6.868917049918951,11.369445267750766,7.416167406666291,19.861016553872993,13.525700180528375,6.1255810298602125,6.548550010382813,17.300241587067266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,[object Object]
1697319821968,5.916463163162556,28.526749307304055,26.757798207016783,13.641510892481946,34.22841562872342,51.599278835981664,14.753549760269134,15.485301932481944,30.45867737749333,47.24744609821763,36.86153038352549,46.06853976963816,22.834014119030975,34.77153915855744,34.93965608415648,157.25423761138586,21.42602458765144,30.637602118495188,20.55048238883354,10.597466695542712,23.44251633111745,16.838393154482578,13.326061143353787,10.80460406674303,8.552001993979257,10.662940428883315,9.710853495063311,19.82858768484996,5.411011355585624,7.551387061057614,17.514636443247586,50.15093111933078,19.785603714677563,38.658264598805694,12.20013238506926,29.834626122109615,55.881121556219895,22.48948563055411,37.93144475470173,28.501830417052467,29.800228533085665,21.665382500879083,35.38334011862506,48.00081160100438,39.351538969596966,174.901265050185,11.676455239280907,37.9059667243674,8.614026961785788,35.58413996909093,25.961303198567034,20.93953927237525,38.15569812997886,8.281375613173594,4.620329243785365,17.21853331437544,16.89078425034584,14.613977917125869,5.000644782209981,8.605535891101136,5.770237178142927,30.40222412871305,44.952200482597085,20.527397118238795,15.346184849305144,17.903394612145007,86.89403702879562,28.371932706990393,35.088212452492236,21.572788149106174,40.60569484141513,16.989795983292773,39.106510333171606,56.940065967011044,49.139015295463025,182.3154851646225,14.138962983558333,46.095617558175405,5.6677737461429425,17.39487813900149,16.46174557716832,19.011449490046523,32.121946938324655,9.260494071452369,5.477442250046767,14.011804357442895,14.689900088867548,18.017691069724755,9.784009252345303,10.297682604187182,5.292030218574599,52.89725611974501,18.297107083000334,5.910212345420882,17.010607892310638,21.499239712791166,17.061234168128102,27.510648793676218,11.403348092655637,36.587484723160564,22.316424473621243,9.372285982498706,47.56353305991893,79.8264909007798,43.25477977898435,150.99443832910623,35.4703523528724,33.02305488622404,12.005524058446602,29.687033020411224,8.956658363189442,4.650784573607968,6.790832703913728,19.607896470460407,8.912360520923004,15.349958639818642,5.414879428376354,13.556994249827724,11.118337289952839,13.62200463228156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,[object Object]
